zincid;molecular_formula;binding_energy;charge;2D;binding_energy AD4;standard deviation
ZINC000103208010;C25HN6O2;-10,2;1;img/ZINC000103208010.jpg;-7,08;0,08
ZINC000477811583;C20N8O3;-10,2;0;img/ZINC000477811583.jpg;-5,73;0,14
ZINC000022657084;C22HCLN6O4;-10,3;1;img/ZINC000022657084.jpg;-5,48;0,07
ZINC000792984608;C16H2N10;-10,1;0;img/ZINC000792984608.jpg;-4,39;0,09
ZINC000431415351;C23N7O;-10,4;0;img/ZINC000431415351.jpg;-7,08;0,15
ZINC000049746038;C34H4CLN10O5;-10,3;0;img/ZINC000049746038.jpg;-6,19;0,28
ZINC000299843098;C26H6N7O19P3;-10,4;-4;img/ZINC000299843098.jpg;-0,61;0,47
ZINC001557766738;C21H4N6O4;-10,2;1;img/ZINC001557766738.jpg;-5,94;0,15
ZINC000073315785;C23H2CLF3N7O4;-10,9;0;img/ZINC000073315785.jpg;-5,61;0,14
ZINC000072403239;C21H2N9O3S;-10,8;0;img/ZINC000072403239.jpg;-3,73;0,15
ZINC000004887501;C31H2N5O7;-10,3;0;img/ZINC000004887501.jpg;-5,57;0,24
ZINC001194615390;C20H3N6O6S;-10,1;-1;img/ZINC001194615390.jpg;-3,23;0,27
ZINC000009695154;C21HN7O2S;-10,4;0;img/ZINC000009695154.jpg;-6,65;0,24
ZINC000826364746;C16H3N10O3;-10,4;0;img/ZINC000826364746.jpg;-4,48;0,18
ZINC000003838252;C23HN8O3;-10,6;0;img/ZINC000003838252.jpg;-5,82;0,14
ZINC000005358495;C22HN6O4;-10,2;0;img/ZINC000005358495.jpg;-5,84;0,33
ZINC000473115815;C23H10N13O9;-11,5;0;img/ZINC000473115815.jpg;-2,47;0,66
ZINC000257295704;C28H2N7O5;-10,5;0;img/ZINC000257295704.jpg;-5,73;0,22
ZINC000044600487;C17HN9O3;-10,1;0;img/ZINC000044600487.jpg;-5,38;0,07
ZINC001174141612;C18H3N6O7P;-10,1;-1;img/ZINC001174141612.jpg;-3,86;0,19
ZINC000012405759;C33H4N7O4;-11,5;0;img/ZINC000012405759.jpg;-5,06;0,4
ZINC000826360497;C17H2N12;-10,5;0;img/ZINC000826360497.jpg;-7,35;0,1
ZINC000257265698;C25H2N7O4;-10,8;0;img/ZINC000257265698.jpg;-5,84;0,21
ZINC000084670646;C28H4CLF2N6O3;-11;0;img/ZINC000084670646.jpg;-5,82;0,13
ZINC000049015142;C25H4N5O4;-10,4;0;img/ZINC000049015142.jpg;-5,38;0,2
ZINC000102760928;C29N7O4;-10,7;0;img/ZINC000102760928.jpg;-5,31;0,24
ZINC000101410248;C30H2N9O3;-10,9;0;img/ZINC000101410248.jpg;-6,47;0,13
ZINC000560862437;C23N6O5;-10,2;0;img/ZINC000560862437.jpg;-5,5;0,07
ZINC001151983099;C18H2N7O2;-10,1;0;img/ZINC001151983099.jpg;-5,31;0,09
ZINC000034800736;C18H6IN7O4;-10,3;0;img/ZINC000034800736.jpg;-3,45;0,38
ZINC000009798442;C23N6O4;-10,1;0;img/ZINC000009798442.jpg;-5,79;0,04
ZINC000046224649;C20H2N6O4;-10,4;0;img/ZINC000046224649.jpg;-4,59;0,21
ZINC000053573969;C18H2CLN7O3;-10,1;0;img/ZINC000053573969.jpg;-4,96;0,04
ZINC000299856392;C34HN8O4;-11,5;0;img/ZINC000299856392.jpg;-7,53;0,04
ZINC000762314060;C20N6O4;-10,5;0;img/ZINC000762314060.jpg;-5,3;0,01
ZINC000103260347;C31H2CLN6O2;-11,3;0;img/ZINC000103260347.jpg;-9,11;0,07
ZINC001165013964;C20H2CLF2N7O;-10,4;1;img/ZINC001165013964.jpg;-6,87;0,11
ZINC000104852176;C31H3N5O8;-10,7;0;img/ZINC000104852176.jpg;-5,01;0,32
ZINC000008704204;C22F2N6O2;-10,3;0;img/ZINC000008704204.jpg;-5,64;0,05
ZINC000058892122;C21HN5O3S;-10,1;0;img/ZINC000058892122.jpg;-6,65;0,05
ZINC000634544016;C21F3N8O3;-10,7;0;img/ZINC000634544016.jpg;-4,72;0,09
ZINC000006936303;C24HN6O;-10,7;0;img/ZINC000006936303.jpg;-6,75;0,08
ZINC000015469635;C20H2N7O4S;-10,4;0;img/ZINC000015469635.jpg;-4,38;0,18
ZINC000016627789;C17H2BRN6O6;-11;0;img/ZINC000016627789.jpg;-5,86;0,05
ZINC001187853422;C13HN6O8PS2;-10,2;-2;img/ZINC001187853422.jpg;-2,66;0,03
ZINC001182841367;C19H3N7O7P;-10,9;-1;img/ZINC001182841367.jpg;-4,05;0,11
ZINC001142388612;C22N6O4;-10,5;0;img/ZINC001142388612.jpg;-5,83;0,04
ZINC000095579313;C27H2CLN8;-11;0;img/ZINC000095579313.jpg;-6,94;0,26
ZINC001156091898;C20HFN5O2;-10,6;0;img/ZINC001156091898.jpg;-5,68;0,04
ZINC000028865775;C17H5CLN6O8S;-10,2;-1;img/ZINC000028865775.jpg;-3,23;0,47
ZINC000102023590;C32H6N8O6;-11,7;0;img/ZINC000102023590.jpg;-5,29;0,12
ZINC001229703824;C18HN6O3;-10,1;0;img/ZINC001229703824.jpg;-5,14;0,08
ZINC000009731658;C22N7O4S;-10,5;0;img/ZINC000009731658.jpg;-3,65;0,09
ZINC000256770102;C19H7N8O10P;-10,2;-1;img/ZINC000256770102.jpg;-0,9;0,41
ZINC000029124869;C30H2N6O7;-11,4;-1;img/ZINC000029124869.jpg;-6,24;0,53
ZINC001187764755;C21H5N7O7;-10,5;0;img/ZINC001187764755.jpg;-4,83;0,15
ZINC000732830230;C18HFN6O4;-10,3;0;img/ZINC000732830230.jpg;-5,37;0,1
ZINC000049014647;C21H3CLN6O5S;-10,2;0;img/ZINC000049014647.jpg;-6,33;0,4
ZINC000299836877;C34HCLN7O7P;-10,1;0;img/ZINC000299836877.jpg;-2,81;0,43
ZINC001237564792;C15H3N6O8PS;-10,4;-1;img/ZINC001237564792.jpg;-3,19;0,15
ZINC000034693281;C31N4O4;-10,2;0;img/ZINC000034693281.jpg;-6,58;0,2
ZINC001193708067;C18H3N7O8P;-11;-1;img/ZINC001193708067.jpg;-3,63;0,15
ZINC000084668456;C38H4CLN6O3;-12,2;0;img/ZINC000084668456.jpg;-8,11;0,23
ZINC001174947851;C18H2N5O8P;-10,2;-2;img/ZINC001174947851.jpg;-4,16;0,14
ZINC000008768465;C21HCLN6O4;-10,1;0;img/ZINC000008768465.jpg;-4,99;0,12
ZINC001202779613;C20H5N8O5;-10,3;0;img/ZINC001202779613.jpg;-4,68;0,34
ZINC000804595669;C20H4FN5O5;-10,3;0;img/ZINC000804595669.jpg;-5,99;0,24
ZINC000737776213;C15H5N11O2;-10,5;0;img/ZINC000737776213.jpg;-5,21;0,1
ZINC000918971840;C18N8O6S;-10,2;0;img/ZINC000918971840.jpg;-3,32;0,14
ZINC001165015942;C20H2CLF2N7O;-10,2;1;img/ZINC001165015942.jpg;-6,87;0,1
ZINC001146917646;C17H2N6O8P;-10,2;-1;img/ZINC001146917646.jpg;-4,86;0,18
ZINC000029175316;C19H2N7O5;-10,4;0;img/ZINC000029175316.jpg;-3,14;0,14
ZINC001191634710;C17H2N7O7P;-10,2;-1;img/ZINC001191634710.jpg;-3,71;0,11
ZINC000101407615;C29H3N9O3;-11;0;img/ZINC000101407615.jpg;-6,14;0,29
ZINC000892651322;C19H2N6O2;-10,1;0;img/ZINC000892651322.jpg;-5,11;0,03
ZINC001195103822;C18H2N6O8P;-10,7;-1;img/ZINC001195103822.jpg;-3,48;0,06
ZINC000588822243;C24H3N8O4;-10,1;0;img/ZINC000588822243.jpg;-3,54;0,28
ZINC001174100134;C19H4N6O4;-10,2;0;img/ZINC001174100134.jpg;-4,68;0,18
ZINC001174001759;C19H3N6O7P;-10,8;-2;img/ZINC001174001759.jpg;-4,04;0,14
ZINC000377819993;C34H7N7O9S;-11,2;0;img/ZINC000377819993.jpg;-5,89;0,45
ZINC001176030187;C17HN6O7P;-10,9;-1;img/ZINC001176030187.jpg;-3,99;0,15
ZINC000009059679;C18H2F3N6O;-10,1;0;img/ZINC000009059679.jpg;-5,04;0,12
ZINC000186977701;C20N5O4;-10,2;0;img/ZINC000186977701.jpg;-5,68;0,04
ZINC001164739462;C23HFN8O;-10,5;1;img/ZINC001164739462.jpg;-6,1;0,1
ZINC001337034482;C16H3N5O2;-10,1;0;img/ZINC001337034482.jpg;-5,31;0,25
ZINC000257308668;C23H6FN8O4;-10,8;0;img/ZINC000257308668.jpg;-3,89;0,27
